Entity,Year,Life expectancy,process_date
Switzerland,1859,38.0,2025-07-24
Switzerland,1860,38.0,2025-07-24
Switzerland,1861,38.0,2025-07-24
Switzerland,1862,38.0,2025-07-24
Switzerland,1863,38.0,2025-07-24
Switzerland,1864,38.0,2025-07-24
Switzerland,1865,38.0,2025-07-24
Switzerland,1866,38.0,2025-07-24
Switzerland,1867,38.0,2025-07-24
Switzerland,1868,38.0,2025-07-24
Switzerland,1869,38.0,2025-07-24
Switzerland,1870,38.0,2025-07-24
Switzerland,1871,38.0,2025-07-24
Switzerland,1872,38.0,2025-07-24
Switzerland,1873,38.0,2025-07-24
Switzerland,1874,38.0,2025-07-24
Switzerland,1875,38.0,2025-07-24
Switzerland,1876,40.099998,2025-07-24
Switzerland,1877,40.009997999999996,2025-07-24
Switzerland,1878,40.470001,2025-07-24
Switzerland,1879,41.810001,2025-07-24
Switzerland,1880,42.41,2025-07-24
Switzerland,1881,41.869999,2025-07-24
Switzerland,1882,42.98,2025-07-24
Switzerland,1883,44.939999,2025-07-24
Switzerland,1884,45.0,2025-07-24
Switzerland,1885,43.830002,2025-07-24
Switzerland,1886,44.68,2025-07-24
Switzerland,1887,45.439999,2025-07-24
Switzerland,1888,45.970001,2025-07-24
Switzerland,1889,45.139998999999996,2025-07-24
Switzerland,1890,44.950001,2025-07-24
Switzerland,1891,44.709998999999996,2025-07-24
Switzerland,1892,47.23,2025-07-24
Switzerland,1893,46.07,2025-07-24
Switzerland,1894,45.790001000000004,2025-07-24
Switzerland,1895,46.84,2025-07-24
Switzerland,1896,48.880001,2025-07-24
Switzerland,1897,49.099998,2025-07-24
Switzerland,1898,48.200001,2025-07-24
Switzerland,1899,49.290001000000004,2025-07-24
Switzerland,1900,47.48,2025-07-24
Switzerland,1901,48.939999,2025-07-24
Switzerland,1902,50.41,2025-07-24
Switzerland,1903,50.029999,2025-07-24
Switzerland,1904,49.16,2025-07-24
Switzerland,1905,49.669998,2025-07-24
Switzerland,1906,50.720001,2025-07-24
Switzerland,1907,51.189999,2025-07-24
Switzerland,1908,52.259997999999996,2025-07-24
